Designator,Mid X,Mid Y,Layer,Rotation
R147,41.574999000000005mm,26.874997mm,Bottom,270.0
R146,10.924999mm,16.974997mm,Bottom,90.0
R141,13.474999mm,41.724997mm,Bottom,180.0
U102,20.759498999999998mm,22.260597mm,Bottom,270.0
R109,42.974999000000004mm,37.724997mm,Bottom,180.0
R108,8.135599mm,36.500397mm,Bottom,0.0
Q103,42.601599mm,36.612997mm,Top,0.0
Q102,42.646299mm,34.579197mm,Bottom,270.0
Q101,4.624999mm,37.719997mm,Bottom,270.0
Q100,7.9749989999999995mm,38.779997mm,Bottom,90.0
L100,11.374998999999999mm,36.874997mm,Bottom,180.0
F100,43.274999mm,28.724997mm,Bottom,90.0
C120,17.274999mm,22.374997mm,Bottom,90.0
C107,18.578599mm,22.274997mm,Bottom,270.0
C106,22.872398999999998mm,23.256697mm,Bottom,90.0
U110,10.274999000000001mm,32.074997mm,Bottom,0.0
R145,13.674999mm,34.974997mm,Bottom,180.0
R144,11.674999mm,34.974997mm,Bottom,0.0
R143,4.271799mm,17.206197mm,Bottom,270.0
R107,16.599999mm,34.974997mm,Top,270.0
D108,11.749998999999999mm,37.324996999999996mm,Top,90.0
C233,37.775099000000004mm,8.974997mm,Bottom,270.0
U107,15.274999000000001mm,37.474997mm,Top,90.0
U106,42.475099mm,40.474997mm,Bottom,180.0
C134,13.074998999999998mm,37.274997mm,Top,90.0
C126,40.575099mm,40.074996999999996mm,Bottom,270.0
VD103,42.475099mm,22.599997mm,Bottom,90.0
VD102,42.675099mm,18.816697mm,Bottom,90.0
VD101,42.675099mm,15.033297000000001mm,Bottom,90.0
VD100,42.675099mm,11.249997mm,Bottom,90.0
U109,42.774999mm,10.874997mm,Top,90.0
U108,42.774999mm,14.774996999999999mm,Top,90.0
U103,9.255099mm,23.899997mm,Bottom,270.0
U100,7.125099mm,30.975497mm,Top,90.0
U285,11.674999mm,12.074997mm,Top,0.0
U280,14.774999000000001mm,12.074997mm,Top,180.0
U275,5.374999mm,12.074997mm,Top,0.0
U270,8.474999mm,12.074997mm,Top,180.0
U195,14.174999mm,16.324997mm,Top,90.0
U190,32.174999mm,14.424997000000001mm,Top,180.0
U185,7.074999mm,16.324997mm,Top,90.0
U180,26.374999mm,14.424997000000001mm,Top,180.0
U175,20.574999mm,14.424997000000001mm,Top,180.0
U170,37.974999000000004mm,14.424997000000001mm,Top,180.0
S101,43.174999mm,32.074997mm,Top,90.0
S100,43.174999mm,26.274997mm,Top,270.0
R140,41.875099000000006mm,7.574997mm,Bottom,0.0
R111,4.374999mm,21.124997mm,Bottom,180.0
R112,4.374999mm,22.174996999999998mm,Bottom,180.0
R117,4.374999mm,27.424996999999998mm,Bottom,180.0
R115,4.374999mm,25.324997mm,Bottom,180.0
R116,4.374999mm,26.374997mm,Bottom,180.0
R114,4.374999mm,24.274997mm,Bottom,180.0
R113,4.374999mm,23.224997mm,Bottom,180.0
R110,4.374999mm,20.074997mm,Bottom,180.0
R120,40.774999mm,30.174996999999998mm,Bottom,90.0
R100,4.075099mm,30.974997mm,Bottom,90.0
R258,39.275099000000004mm,6.974997mm,Bottom,270.0
R255,4.074999mm,5.674996999999999mm,Bottom,270.0
R256,39.275099000000004mm,8.974997mm,Bottom,90.0
R254,4.074999mm,7.624997mm,Top,270.0
R257,35.974999000000004mm,6.1249970000000005mm,Bottom,0.0
R245,31.175099mm,6.1249970000000005mm,Bottom,0.0
R236,26.375099mm,6.1249970000000005mm,Bottom,0.0
R227,21.574999mm,6.1249970000000005mm,Bottom,0.0
R209,11.974999mm,6.1249970000000005mm,Bottom,0.0
R200,7.1750989999999994mm,6.1249970000000005mm,Bottom,0.0
R197,14.175099mm,17.774997mm,Bottom,180.0
R196,14.174999mm,14.874997mm,Bottom,0.0
R195,17.025099mm,14.374997mm,Bottom,270.0
R191,30.725099mm,14.424997000000001mm,Bottom,270.0
R190,33.625099mm,14.424997000000001mm,Bottom,90.0
R186,7.074999mm,17.774997mm,Bottom,180.0
R185,7.074999mm,14.874997mm,Bottom,0.0
R181,24.925099mm,14.424997000000001mm,Bottom,270.0
R180,27.825098999999998mm,14.424997000000001mm,Bottom,90.0
R176,19.125099mm,14.424997000000001mm,Bottom,270.0
R175,22.025098999999997mm,14.424997000000001mm,Bottom,90.0
R171,36.525099000000004mm,14.424997000000001mm,Bottom,270.0
R170,39.424999mm,14.424997000000001mm,Bottom,90.0
R139,43.674999mm,5.074997mm,Top,270.0
R138,42.474999000000004mm,5.074997mm,Top,270.0
R137,41.274999mm,5.074997mm,Top,270.0
R136,40.074999000000005mm,5.074997mm,Top,270.0
R135,43.674999mm,6.074997mm,Top,90.0
R132,42.474999000000004mm,6.074997mm,Top,90.0
R126,41.274999mm,6.074997mm,Top,90.0
R124,40.074999000000005mm,6.074997mm,Top,90.0
R119,4.774998999999999mm,21.974997mm,Top,90.0
R118,4.774998999999999mm,26.074997mm,Top,90.0
R266,37.774999mm,5.074997mm,Top,270.0
R265,36.574999000000005mm,5.074997mm,Top,270.0
R264,35.374999mm,5.074997mm,Top,270.0
R263,34.174999mm,5.074997mm,Top,270.0
R262,37.774999mm,6.074997mm,Top,90.0
R261,36.574999000000005mm,6.074997mm,Top,90.0
R260,35.374999mm,6.074997mm,Top,90.0
R259,34.174999mm,6.074997mm,Top,90.0
R253,32.974999000000004mm,5.074997mm,Top,90.0
R252,31.774998999999998mm,5.074997mm,Top,90.0
R251,30.574999mm,5.074997mm,Top,90.0
R250,29.374999mm,5.074997mm,Top,90.0
R249,32.974999000000004mm,6.074997mm,Top,270.0
R248,31.774998999999998mm,6.074997mm,Top,270.0
R247,30.574999mm,6.074997mm,Top,270.0
R246,29.374999mm,6.074997mm,Top,270.0
R244,28.174999mm,5.074997mm,Top,270.0
R243,26.974999mm,5.074997mm,Top,270.0
R242,25.774998999999998mm,5.074997mm,Top,270.0
R241,24.574999mm,5.074997mm,Top,270.0
R240,28.174999mm,6.074997mm,Top,90.0
R239,26.974999mm,6.074997mm,Top,90.0
R238,25.774998999999998mm,6.074997mm,Top,90.0
R237,24.574999mm,6.074997mm,Top,90.0
R235,23.374999mm,5.074997mm,Top,90.0
R234,22.174999mm,5.074997mm,Top,90.0
R233,20.974999mm,5.074997mm,Top,90.0
R232,19.774998999999998mm,5.074997mm,Top,90.0
R231,23.374999mm,6.074997mm,Top,270.0
R230,22.174999mm,6.074997mm,Top,270.0
R229,20.974999mm,6.074997mm,Top,270.0
R228,19.774998999999998mm,6.074997mm,Top,270.0
R226,18.574999mm,5.074997mm,Top,270.0
R225,17.374999mm,5.074997mm,Top,270.0
R224,16.174999mm,5.074997mm,Top,270.0
R223,14.974999mm,5.074997mm,Top,270.0
R222,18.574999mm,6.074997mm,Top,90.0
R221,17.374999mm,6.074997mm,Top,90.0
R220,16.174999mm,6.074997mm,Top,90.0
R219,14.974999mm,6.074997mm,Top,90.0
R218,16.774999mm,6.1249970000000005mm,Bottom,0.0
R217,13.774999000000001mm,5.074997mm,Top,270.0
R216,12.574998999999998mm,5.074997mm,Top,270.0
R215,11.374998999999999mm,5.074997mm,Top,270.0
R214,10.174999mm,5.074997mm,Top,270.0
R213,13.804998999999999mm,6.074997mm,Top,90.0
R212,12.574998999999998mm,6.074997mm,Top,90.0
R211,11.374998999999999mm,6.074997mm,Top,90.0
R210,10.174999mm,6.074997mm,Top,90.0
R208,8.974999mm,5.074997mm,Top,270.0
R207,7.774999mm,5.074997mm,Top,270.0
R206,6.574999mm,5.074997mm,Top,270.0
R205,5.374999mm,5.074997mm,Top,270.0
R204,8.974999mm,6.074997mm,Top,90.0
R203,7.774999mm,6.074997mm,Top,90.0
R202,6.574999mm,6.074997mm,Top,90.0
R201,5.374999mm,6.074997mm,Top,90.0
R142,15.275099mm,10.474997mm,Bottom,0.0
P106,26.774998999999998mm,18.874997mm,Top,270.0
P105,18.074999mm,19.074997mm,Top,270.0
P104,22.374999mm,18.774997mm,Top,270.0
P201,39.044999000000004mm,4.574997mm,Top,90.0
P200,4.074999mm,4.074997mm,Top,90.0
P103,31.574999mm,18.774997mm,Top,180.0
P102,34.474999000000004mm,18.774997mm,Top,180.0
P101,37.474999000000004mm,18.774997mm,Top,180.0
P100,38.774999mm,19.974997mm,Top,180.0
J100,30.750099mm,31.627997mm,Bottom,0.0
D100,7.000199mm,29.940497mm,Bottom,180.0
D205,42.674999mm,19.724997mm,Top,90.0
D207,35.974999000000004mm,8.874997mm,Top,180.0
D206,31.174999mm,8.874997mm,Top,180.0
D204,26.374999mm,8.874997mm,Top,180.0
D203,21.574999mm,8.874997mm,Top,180.0
D201,11.974999mm,8.874997mm,Top,180.0
D200,7.174999mm,8.874997mm,Top,180.0
D116,13.324998999999998mm,21.674996999999998mm,Top,180.0
D115,9.124998999999999mm,21.674996999999998mm,Top,180.0
D114,13.324998999999998mm,23.474997mm,Top,180.0
D113,9.124998999999999mm,23.474997mm,Top,180.0
D112,13.324998999999998mm,25.274997mm,Top,180.0
D111,9.124998999999999mm,25.274997mm,Top,180.0
D110,13.324998999999998mm,27.074997mm,Top,180.0
D109,9.124998999999999mm,27.074997mm,Top,180.0
D202,16.774999mm,8.874997mm,Top,180.0
C143,40.074999000000005mm,7.974997mm,Top,270.0
C144,41.274999mm,7.974997mm,Top,90.0
C145,42.474999000000004mm,7.974997mm,Top,270.0
C146,43.674999mm,7.974997mm,Top,270.0
C112,13.474999mm,19.974997mm,Top,0.0
C111,6.9749989999999995mm,20.074997mm,Top,90.0
C117,40.462499mm,27.274997mm,Bottom,270.0
C105,6.874999mm,32.874997mm,Bottom,180.0
C100,4.724999mm,32.874997mm,Bottom,0.0
C285,11.558098999999999mm,12.074997mm,Bottom,0.0
C280,14.891998999999998mm,12.074997mm,Bottom,180.0
C275,5.257999mm,12.074997mm,Bottom,0.0
C270,8.591999mm,12.074997mm,Bottom,180.0
C229,38.875099000000006mm,5.074997mm,Bottom,270.0
C224,4.074999mm,5.674996999999999mm,Top,90.0
C223,4.074999mm,9.924997000000001mm,Top,90.0
C222,4.074999mm,7.624997mm,Bottom,90.0
C221,38.974999000000004mm,6.974997mm,Top,90.0
C220,21.575098999999998mm,11.174997000000001mm,Bottom,180.0
C230,34.174999mm,8.974997mm,Bottom,270.0
C231,35.375099000000006mm,8.974997mm,Bottom,270.0
C232,36.574999000000005mm,8.974997mm,Bottom,270.0
C225,29.375099mm,8.974997mm,Bottom,270.0
C226,30.574999mm,8.974997mm,Bottom,270.0
C227,31.775098999999997mm,8.974997mm,Bottom,270.0
C228,32.974999000000004mm,8.974997mm,Bottom,270.0
C216,24.574999mm,8.974997mm,Bottom,270.0
C217,25.775098999999997mm,8.974997mm,Bottom,270.0
C218,26.974999mm,8.974997mm,Bottom,270.0
C219,28.175099mm,8.974997mm,Bottom,270.0
C212,19.775098999999997mm,8.974997mm,Bottom,270.0
C213,20.974999mm,8.974997mm,Bottom,270.0
C214,22.175099mm,8.974997mm,Bottom,270.0
C215,23.374999mm,8.974997mm,Bottom,270.0
C204,10.174999mm,8.974997mm,Bottom,270.0
C205,11.375098999999999mm,8.974997mm,Bottom,270.0
C206,12.574998999999998mm,8.974997mm,Bottom,270.0
C207,13.775099mm,8.974997mm,Bottom,270.0
C200,5.3750990000000005mm,8.974997mm,Bottom,270.0
C201,6.574999mm,8.974997mm,Bottom,270.0
C202,7.775099mm,8.974997mm,Bottom,270.0
C203,8.974999mm,8.974997mm,Bottom,270.0
C195,17.025099mm,16.974997mm,Bottom,270.0
C190,31.524998999999998mm,17.274997mm,Bottom,0.0
C185,9.924999mm,16.974997mm,Bottom,270.0
C180,25.724999mm,17.274997mm,Bottom,0.0
C175,19.925099mm,17.274997mm,Bottom,0.0
C170,37.325099mm,17.274997mm,Bottom,0.0
C142,43.674999mm,5.074997mm,Bottom,270.0
C141,42.474999000000004mm,5.074997mm,Bottom,270.0
C139,41.275099000000004mm,5.074997mm,Bottom,90.0
C135,40.074999000000005mm,5.074997mm,Bottom,270.0
C211,18.574999mm,8.974997mm,Bottom,270.0
C210,17.375099mm,8.974997mm,Bottom,270.0
C209,16.174999mm,8.974997mm,Bottom,270.0
C208,14.975099mm,8.974997mm,Bottom,270.0
C147,18.375099mm,28.374997mm,Bottom,90.0
F101,7.324999mm,41.724997mm,Bottom,180.0
R134,17.375099mm,34.299997mm,Bottom,0.0
R133,17.375099mm,35.474997mm,Bottom,0.0
C133,17.375099mm,33.124997mm,Bottom,180.0
R131,24.549999mm,20.399997mm,Bottom,180.0
U101,7.074999mm,38.174997mm,Top,270.0
R130,15.175099mm,26.074997mm,Bottom,90.0
R129,15.175099mm,21.974997mm,Bottom,90.0
Y101,20.474999mm,35.974997mm,Bottom,270.0
C116,20.774998999999998mm,34.074997mm,Bottom,180.0
C115,20.974999mm,37.974997mm,Bottom,180.0
C124,18.874999mm,23.924996999999998mm,Bottom,180.0
R121,18.375099mm,30.274997mm,Bottom,270.0
R106,25.750099mm,41.149997mm,Bottom,90.0
J101,14.494999mm,41.359997mm,Top,180.0
C129,18.874999mm,31.974997mm,Bottom,180.0
C128,28.075098999999998mm,41.874997mm,Bottom,90.0
C121,27.150098999999997mm,20.899997mm,Bottom,270.0
C118,32.250099mm,20.499997mm,Bottom,0.0
C110,39.125099000000006mm,39.774997mm,Bottom,0.0
C109,39.375099000000006mm,32.974997mm,Bottom,90.0
C108,39.424999mm,27.274997mm,Bottom,90.0
R105,39.975099mm,23.674996999999998mm,Bottom,180.0
R104,39.374999mm,30.474997mm,Bottom,90.0
R103,39.975099mm,22.674996999999998mm,Bottom,180.0
R125,34.274999mm,23.374997mm,Bottom,180.0
C104,4.624999mm,40.624997mm,Bottom,90.0
C137,11.774999000000001mm,38.374997mm,Bottom,180.0
D101,5.624999mm,34.674997mm,Bottom,180.0
C101,15.324998999999998mm,42.024997mm,Bottom,0.0
R102,44.074999000000005mm,42.274997mm,Bottom,180.0
R101,13.275099mm,31.674996999999998mm,Bottom,270.0
D102,42.674399mm,40.718196999999996mm,Top,90.0
Y102,21.175099mm,28.474997mm,Bottom,90.0
R122,37.674999mm,23.374997mm,Bottom,90.0
R123,36.675099mm,23.374997mm,Bottom,90.0
R127,23.249999mm,41.549997mm,Bottom,270.0
R128,26.050099mm,20.899997mm,Bottom,270.0
D106,13.324998999999998mm,34.374997mm,Top,180.0
D105,13.324998999999998mm,32.574997mm,Top,180.0
D107,15.124998999999999mm,37.274997mm,Bottom,180.0
D104,13.324998999999998mm,30.774997mm,Top,180.0
D103,13.324998999999998mm,28.974997mm,Top,180.0
C140,18.375099mm,37.774997mm,Bottom,270.0
C132,20.875099mm,32.074997mm,Bottom,180.0
C136,21.074999mm,24.874997mm,Bottom,180.0
